name,protocol,floor,room,token
MQTT-F01-R101,MQTT,1,101,LB0AmCII7UpgJptYuSUG
MQTT-F01-R102,MQTT,1,102,9OP3IUCKSt8HYOWM7lzR
MQTT-F01-R103,MQTT,1,103,2yPatBGkrTlebhapGFs6
MQTT-F01-R104,MQTT,1,104,AdrlpWmTZnP6c4dwwCnL
MQTT-F01-R105,MQTT,1,105,lWnCSnJlz7cf2qP6QfA6
MQTT-F01-R106,MQTT,1,106,KKfFxQ0lMSwl99AsEyzW
MQTT-F01-R107,MQTT,1,107,HxBm0zMSyqr6wRaPrQ3q
MQTT-F01-R108,MQTT,1,108,M6PxHrnWLW1LJswrCqf4
MQTT-F01-R109,MQTT,1,109,x0qNZp0n4EWOq8crvDKj
MQTT-F01-R110,MQTT,1,110,KNQiiufDVh83kQiWsXb0
CoAP-F01-R201,CoAP,1,201,t8stUKPJ8ccvMr2MFvrH
CoAP-F01-R202,CoAP,1,202,FUZx3LboevxNE6NzVHea
CoAP-F01-R203,CoAP,1,203,NMvam1VOTktp7fb7I5Jh
CoAP-F01-R204,CoAP,1,204,1MYIFqHJd4ISk1hfhkrz
CoAP-F01-R205,CoAP,1,205,NLpVORLSU1Osv8hvjFb8
CoAP-F01-R206,CoAP,1,206,QCEe8AQll124GZFE7w39
CoAP-F01-R207,CoAP,1,207,MWERl4gfoHjo444C2RFt
CoAP-F01-R208,CoAP,1,208,XOWPbvOgLJJV3M5m6NX7
CoAP-F01-R209,CoAP,1,209,OkLKgqf4hUOM2QBkkdFI
CoAP-F01-R210,CoAP,1,210,jOGtWRlbBl2K9bVUxgeP
MQTT-F02-R201,MQTT,2,201,4kK8X475bY60ECFEdUd2
MQTT-F02-R202,MQTT,2,202,qVHCsxu0qNer2FrZamtb
MQTT-F02-R203,MQTT,2,203,CpEs7rYnzbeEYybLpi7O
MQTT-F02-R204,MQTT,2,204,Qi9DmE9sVmxgOg6kjsE6
MQTT-F02-R205,MQTT,2,205,PkBhtAftMSEYoVYgEbuC
MQTT-F02-R206,MQTT,2,206,VHKnnvBr7mA4Jw6Cwdrx
MQTT-F02-R207,MQTT,2,207,ZNW8itnmNz8tdpzVQBXW
MQTT-F02-R208,MQTT,2,208,FVcmRFp8rnzapbRFCWTT
MQTT-F02-R209,MQTT,2,209,CjqwGVwlG4IXJY29z9EI
MQTT-F02-R210,MQTT,2,210,nAGk1HXa6UIp4qZ06NWm
CoAP-F02-R301,CoAP,2,301,RZM6DfHTp4xwaSBx0ULy
CoAP-F02-R302,CoAP,2,302,3CTPCWUPGIHAIyFRMTUI
CoAP-F02-R303,CoAP,2,303,uRsvSsUrUUQqyOVxlmrN
CoAP-F02-R304,CoAP,2,304,MYIYLv0nZXZXN4LNliEA
CoAP-F02-R305,CoAP,2,305,XsYUqLoggLPd0X6HSFNN
CoAP-F02-R306,CoAP,2,306,CAi2KuQm5vgtjS4KcQKI
CoAP-F02-R307,CoAP,2,307,dhTkbOoWyl9E2OMEPPr9
CoAP-F02-R308,CoAP,2,308,gymSt2AVIObbi9JsWCAh
CoAP-F02-R309,CoAP,2,309,6lLU2LhvdtTa2muA7CtB
CoAP-F02-R310,CoAP,2,310,j35xzECBp4Op8zZKaTzh
MQTT-F03-R301,MQTT,3,301,AOD722svNKo1NyeBEcs9
MQTT-F03-R302,MQTT,3,302,sD0L2amWZPCMibofdHnn
MQTT-F03-R303,MQTT,3,303,k83PB1pvFtdRDo79CyGr
MQTT-F03-R304,MQTT,3,304,tI6GSuCWBwe1dxownQQy
MQTT-F03-R305,MQTT,3,305,urdMJYIARJRUaRckamna
MQTT-F03-R306,MQTT,3,306,luFTC4sb15ZSElPnXlSW
MQTT-F03-R307,MQTT,3,307,zxnNhq5uK71jpH8r7b77
MQTT-F03-R308,MQTT,3,308,1oLRUW2SKIijb59znfC6
MQTT-F03-R309,MQTT,3,309,eCk1IrfucX4kaBJ7RTHR
MQTT-F03-R310,MQTT,3,310,Gi0N2OoYyVWyDskkJc5V
CoAP-F03-R401,CoAP,3,401,h3Mspf6t9xb6t0GGVtoF
CoAP-F03-R402,CoAP,3,402,Xo5HzXcPulMVRTHT5FTs
CoAP-F03-R403,CoAP,3,403,TOEBW7R9zS5fhsmsPI6B
CoAP-F03-R404,CoAP,3,404,DWiinpzpXNPYpAgkhpBl
CoAP-F03-R405,CoAP,3,405,oyw2mQ8fWsDpXtzsT9Rr
CoAP-F03-R406,CoAP,3,406,tLPYQZOg9TPah223mY1W
CoAP-F03-R407,CoAP,3,407,a6VDtBO7bjMjnTMYaEDj
CoAP-F03-R408,CoAP,3,408,IwWIijR8j6cmgzR5GF7C
CoAP-F03-R409,CoAP,3,409,aYp4iLfh9mPA6qgiKgMy
CoAP-F03-R410,CoAP,3,410,pyc9p0tAcP314P4RFkyg
MQTT-F04-R401,MQTT,4,401,HCJDUBGfIA09mJSpG2qW
MQTT-F04-R402,MQTT,4,402,R0fkK9aQ8cIbnnfQVZOQ
MQTT-F04-R403,MQTT,4,403,wsnGqUCAXtOcayW3pn57
MQTT-F04-R404,MQTT,4,404,YWZ4FEyjavUcF6f6ruyO
MQTT-F04-R405,MQTT,4,405,LcJysStEfpCrXEPWAgkq
MQTT-F04-R406,MQTT,4,406,qqOJX4itsAjLM4y4KEAK
MQTT-F04-R407,MQTT,4,407,MtRPXf5b2SsPSJYO9H1D
MQTT-F04-R408,MQTT,4,408,FSt7MVjbO0LHIDh5dU1y
MQTT-F04-R409,MQTT,4,409,cux7ojUcp90iPvdqHQN4
MQTT-F04-R410,MQTT,4,410,ZsoRs58i5KvY9b0w0FWD
CoAP-F04-R501,CoAP,4,501,mZZcL6VVpEhuIqsRgMVV
CoAP-F04-R502,CoAP,4,502,FadRa5D769LD0kUPpQmb
CoAP-F04-R503,CoAP,4,503,Atr8e1oFokW0amLIYDo7
CoAP-F04-R504,CoAP,4,504,Oxe2lRBXze8LL04c42GR
CoAP-F04-R505,CoAP,4,505,DMA2eZTKbuOfzCs9xSi9
CoAP-F04-R506,CoAP,4,506,ju1Dg9JLfy5uQQojWNCz
CoAP-F04-R507,CoAP,4,507,9tkIvfFSaTj5mTwBOnDQ
CoAP-F04-R508,CoAP,4,508,A2aI9F76y2Icso7glt5R
CoAP-F04-R509,CoAP,4,509,84vqb6LlmaTlPTO9XmQQ
CoAP-F04-R510,CoAP,4,510,6lTQtizPv0crljkYrL2h
MQTT-F05-R501,MQTT,5,501,YkPDu2KNVmJCogE3mfGb
MQTT-F05-R502,MQTT,5,502,j1dLN0DvaCSHddZG3ZSx
MQTT-F05-R503,MQTT,5,503,58suAXrY1q5KAPu6qEAt
MQTT-F05-R504,MQTT,5,504,jt8L091Qoc5cfQx9leTH
MQTT-F05-R505,MQTT,5,505,YXGcL1skL7aHGhfsgfvJ
MQTT-F05-R506,MQTT,5,506,tGct1IwDH3955QqAw2aK
MQTT-F05-R507,MQTT,5,507,5jdbpeARXizAO84BjtqQ
MQTT-F05-R508,MQTT,5,508,KreG98tUOm4umhriTjxG
MQTT-F05-R509,MQTT,5,509,WG2VRmOQYUZ9qBWbhr4p
MQTT-F05-R510,MQTT,5,510,4gAk0VJjaFyULifkQ240
CoAP-F05-R601,CoAP,5,601,yakqjuRhdAOs456CJox7
CoAP-F05-R602,CoAP,5,602,IH4DzA5dl5KTLihbFPwG
CoAP-F05-R603,CoAP,5,603,luYn0N3Do8J0Hpv9dWXE
CoAP-F05-R604,CoAP,5,604,bZaSNTak2Ta5SViB5Twp
CoAP-F05-R605,CoAP,5,605,GG8QUqIOCUqWRgtRESvT
CoAP-F05-R606,CoAP,5,606,J38oyXbzabzIPp0tjShx
CoAP-F05-R607,CoAP,5,607,exhVQhVe7nyz1sOBU29N
CoAP-F05-R608,CoAP,5,608,0owFsRhQ0oKsBTd5c5v8
CoAP-F05-R609,CoAP,5,609,2cZNkxk6Ru2ylsvoBF96
CoAP-F05-R610,CoAP,5,610,VmMWEXn9UCE9Vp5j7Lgx
MQTT-F06-R601,MQTT,6,601,3U05dLX6m8Kf2sV891Ey
MQTT-F06-R602,MQTT,6,602,eBKdfdIgqICcHeWNK673
MQTT-F06-R603,MQTT,6,603,qBhSt9kPstHo1OUZ41p8
MQTT-F06-R604,MQTT,6,604,izChWfUZNaEkjogcELfQ
MQTT-F06-R605,MQTT,6,605,cpm3W2QUNWrGbsn2AWcx
MQTT-F06-R606,MQTT,6,606,ARGEkBczJK1OwGyYuPc9
MQTT-F06-R607,MQTT,6,607,Q4mruytQZsmoUGX2XT64
MQTT-F06-R608,MQTT,6,608,HbBoKaLENyuvYeWWTLJI
MQTT-F06-R609,MQTT,6,609,g1jlstnJIOWdh348CYbY
MQTT-F06-R610,MQTT,6,610,mJryFS9unu0hfkETx7G2
CoAP-F06-R701,CoAP,6,701,UzLP8Wrt0v6FW3aDGdHk
CoAP-F06-R702,CoAP,6,702,KXMvFh6DLq2qBSBDuBKz
CoAP-F06-R703,CoAP,6,703,nueM1qjsfIqheJLgemzy
CoAP-F06-R704,CoAP,6,704,o7k155Hq8NN5K1cKx7LT
CoAP-F06-R705,CoAP,6,705,lRxv8E2vwlxVbqUxP51F
CoAP-F06-R706,CoAP,6,706,AVEipNuk8xVm004KYWDB
CoAP-F06-R707,CoAP,6,707,91MvFEKNDJFHF9hqu9Yj
CoAP-F06-R708,CoAP,6,708,JVR9Yw8L0mRgFMAhUIWk
CoAP-F06-R709,CoAP,6,709,SNeh27fsAoJWTJKziywo
CoAP-F06-R710,CoAP,6,710,0htoUv3uvDwPYO0ZWD6N
MQTT-F07-R701,MQTT,7,701,6XPchDZZ3RNoIba29AY3
MQTT-F07-R702,MQTT,7,702,loR7nZb66gfp6hy5RNca
MQTT-F07-R703,MQTT,7,703,kKdOXugpIEFwvQ1CPpEX
MQTT-F07-R704,MQTT,7,704,s4TRuGI2AacTNdx8F4n9
MQTT-F07-R705,MQTT,7,705,bcnqjTh31i8FY4RJhUm3
MQTT-F07-R706,MQTT,7,706,rWQIFVmcm6RV8LbvYV6s
MQTT-F07-R707,MQTT,7,707,Jdi7CfVOZE4k0TeJN3ey
MQTT-F07-R708,MQTT,7,708,gHyCc38o5sIJA8ENHPE9
MQTT-F07-R709,MQTT,7,709,8hqWTTrgysTmxD0GeY4x
MQTT-F07-R710,MQTT,7,710,904euFODGZRIkBycxMQR
CoAP-F07-R801,CoAP,7,801,Ukkkem20eyZY0RLcjYG3
CoAP-F07-R802,CoAP,7,802,bbEU6isRUGxbrBKjbtHS
CoAP-F07-R803,CoAP,7,803,L9yD6KlEnX68vZNgHSHT
CoAP-F07-R804,CoAP,7,804,iESZE70WLZ9Q58qihXzc
CoAP-F07-R805,CoAP,7,805,N0r0isSknA2lW9SQwbBu
CoAP-F07-R806,CoAP,7,806,CELLoF5iQA07lXJlRtu9
CoAP-F07-R807,CoAP,7,807,XopQ1O324IlhJwPnwAmx
CoAP-F07-R808,CoAP,7,808,2OP89zYFZswnCX0uOz4U
CoAP-F07-R809,CoAP,7,809,lRbAu8iNK2M34mjRqmks
CoAP-F07-R810,CoAP,7,810,KiMLqPP2EkVssFYmPAYh
MQTT-F08-R801,MQTT,8,801,yXCo33u2hY3Aox6mvBwD
MQTT-F08-R802,MQTT,8,802,rebwIB5GuL8jQ3nN9lP5
MQTT-F08-R803,MQTT,8,803,QaWshdGtbM8vLMRv8d8y
MQTT-F08-R804,MQTT,8,804,Xx5X65hRrAAfvmcTO41P
MQTT-F08-R805,MQTT,8,805,pnSDggatAMfxC17TNGsf
MQTT-F08-R806,MQTT,8,806,GVjDZGm8AyfLIEEgXrq9
MQTT-F08-R807,MQTT,8,807,DbhTe0lgsFoWPVZCyFAs
MQTT-F08-R808,MQTT,8,808,y1i5oKFCon0cN2cUezXW
MQTT-F08-R809,MQTT,8,809,rEUbrNBn8ROr7H6wB8U6
MQTT-F08-R810,MQTT,8,810,9gIEYUqCmUp5VZEsQjjc
CoAP-F08-R901,CoAP,8,901,FPGGBFq6eAWZqTpyauER
CoAP-F08-R902,CoAP,8,902,VA3KmhHgauPGt1dUlqB3
CoAP-F08-R903,CoAP,8,903,zLwcZ02mjzytvmc2T2Pz
CoAP-F08-R904,CoAP,8,904,HmT5aME41DJ1UhOfXFI6
CoAP-F08-R905,CoAP,8,905,H0QPhnhMfMNKncx7JIyG
CoAP-F08-R906,CoAP,8,906,tePDt4OuAScY1ABG1uih
CoAP-F08-R907,CoAP,8,907,PiSAMect5iwswnO89SsT
CoAP-F08-R908,CoAP,8,908,B04natk6VCpNKoVFD1G1
CoAP-F08-R909,CoAP,8,909,XhI9c2hz7ZZxMaCDhnPS
CoAP-F08-R910,CoAP,8,910,dBTtWlNKMA15ogeMOdaC
MQTT-F09-R901,MQTT,9,901,5KlhMu5U42QoeQmpb2UX
MQTT-F09-R902,MQTT,9,902,bkOkpPXgvMj4g8pjpysg
MQTT-F09-R903,MQTT,9,903,9Wxg3m0gIka5EOqmbKLy
MQTT-F09-R904,MQTT,9,904,w0dwZQRWivFQeM6VQFdp
MQTT-F09-R905,MQTT,9,905,YiHe9rKh4KhCKX4IE5P1
MQTT-F09-R906,MQTT,9,906,Ceg5yd9QAAhtaDOs77Es
MQTT-F09-R907,MQTT,9,907,ILpx9ezRci21MjE9o1sQ
MQTT-F09-R908,MQTT,9,908,M4BrmTUIBr1qKAkdW9wi
MQTT-F09-R909,MQTT,9,909,TSWkaXXx62Tmsr8kV3a6
MQTT-F09-R910,MQTT,9,910,mnGkTlyIRwEvJd6vhlIC
CoAP-F09-R1001,CoAP,9,1001,qzXfWmG1tYjlSIZwsKlU
CoAP-F09-R1002,CoAP,9,1002,OQeqtJIhIHL9hpOFCFve
CoAP-F09-R1003,CoAP,9,1003,DduBXMGudoA0uWqWwA48
CoAP-F09-R1004,CoAP,9,1004,N5vvvd7wSp1tWdd4p38e
CoAP-F09-R1005,CoAP,9,1005,OR6rssxjIam68Jxnqws8
CoAP-F09-R1006,CoAP,9,1006,QAEweAwnxDs4Kbf8T9eP
CoAP-F09-R1007,CoAP,9,1007,pbRt6TsSkwFNLD7ltFCx
CoAP-F09-R1008,CoAP,9,1008,3xISvLcsgnMfoWq2EndR
CoAP-F09-R1009,CoAP,9,1009,YbLgs04UfXH5qBpmJSDb
CoAP-F09-R1010,CoAP,9,1010,QsALgtfMuB63YxsMATI0
MQTT-F10-R1001,MQTT,10,1001,s3pCXKL2JrJTiJ2CuKV4
MQTT-F10-R1002,MQTT,10,1002,Jj4fqHYoeFwNiwNXTbPe
MQTT-F10-R1003,MQTT,10,1003,f0PkSQh3ikrgIBsfGezb
MQTT-F10-R1004,MQTT,10,1004,kc6avdhlmduW3ciWoFQw
MQTT-F10-R1005,MQTT,10,1005,mk5nl6rR0YAnKX1TJrVG
MQTT-F10-R1006,MQTT,10,1006,YVL7h0QeEyjub70Ujzl5
MQTT-F10-R1007,MQTT,10,1007,9H7CWqsKky3OT4fW6pMc
MQTT-F10-R1008,MQTT,10,1008,ZVjZKBueUoVJyUFxEuho
MQTT-F10-R1009,MQTT,10,1009,lWNtkZa0zs6iPg7kKLeP
MQTT-F10-R1010,MQTT,10,1010,3tHhzEx9KKll4q5A6nvs
CoAP-F10-R1101,CoAP,10,1101,6UDSnsX6g9xaCkg8Jjcm
CoAP-F10-R1102,CoAP,10,1102,Mgheg0XV7KYh8I7JvWXB
CoAP-F10-R1103,CoAP,10,1103,hMZP2BckHqjszKnMuzPR
CoAP-F10-R1104,CoAP,10,1104,IdUBvxkYGvBOoDpX7SLN
CoAP-F10-R1105,CoAP,10,1105,5fG9m2p7RLqCTa40dWh9
CoAP-F10-R1106,CoAP,10,1106,n7vytYzPo9Olee4lY7tn
CoAP-F10-R1107,CoAP,10,1107,37x4qRAOJZGGoJ1TL2zi
CoAP-F10-R1108,CoAP,10,1108,rPQ02gYgAsMmQC2zQWYp
CoAP-F10-R1109,CoAP,10,1109,GIMJ9Kxj8gWItrPOKNLB
CoAP-F10-R1110,CoAP,10,1110,Xtao82xIyK8rzHUar3PT
