name,protocol,floor,room,token
MQTT-F01-R101,MQTT,1,101,oFR87mgqxbbNBOrlgcRr
MQTT-F01-R102,MQTT,1,102,P5hnszmgblPygwIhsS6U
MQTT-F01-R103,MQTT,1,103,L3dbOauI1zHq6419uigG
MQTT-F01-R104,MQTT,1,104,GuX1I9NwND4MnSXggWPj
MQTT-F01-R105,MQTT,1,105,Euqo3ah06yXKaehG32qf
MQTT-F01-R106,MQTT,1,106,9KhqSchWAr5QT9u1LpGo
MQTT-F01-R107,MQTT,1,107,PQertjHiIk5vJxjqbrNI
MQTT-F01-R108,MQTT,1,108,IrgIawZsf2ITIWZI7uQQ
MQTT-F01-R109,MQTT,1,109,Z7xDyuYMUCPtJ8KBtIWK
MQTT-F01-R110,MQTT,1,110,wsb0SUGVAisYKCAkmogC
CoAP-F01-R201,CoAP,1,201,SYVCRUTaTS75r4TqJ2jR
CoAP-F01-R202,CoAP,1,202,IXaaMqtKMRzUCvWk0GFt
CoAP-F01-R203,CoAP,1,203,wb8gU7Pb9e4pdPujViwy
CoAP-F01-R204,CoAP,1,204,lnjiFvlLRqTH2Y7VIWOP
CoAP-F01-R205,CoAP,1,205,timnwXCKfhkvaqWC3fPd
CoAP-F01-R206,CoAP,1,206,5zUkVnWbwKYvHmLPLzjv
CoAP-F01-R207,CoAP,1,207,oYa48GC9AsUrk7b8HJE7
CoAP-F01-R208,CoAP,1,208,VOSSHIuBgaWhxgpsJHN4
CoAP-F01-R209,CoAP,1,209,GC1kN1YOaZLDHa7vjvTF
CoAP-F01-R210,CoAP,1,210,mzPt8oJbo0ioxXfzGXUZ
MQTT-F02-R201,MQTT,2,201,t2GCuQgWu7D7qHCyKRAp
MQTT-F02-R202,MQTT,2,202,hxFSivw5iwNg921dW6lY
MQTT-F02-R203,MQTT,2,203,233GXKyIaVR9me2s1n4M
MQTT-F02-R204,MQTT,2,204,3RBh28LpNu5ltju7ZyzS
MQTT-F02-R205,MQTT,2,205,tRTweORt3sOOJr3zYLeN
MQTT-F02-R206,MQTT,2,206,Bf6BO2OxlclW4JjItugO
MQTT-F02-R207,MQTT,2,207,ScI2kjPFsCmOZlwVleIT
MQTT-F02-R208,MQTT,2,208,AtlGKYrSVGEhSQezHnxf
MQTT-F02-R209,MQTT,2,209,cWcGfooXK9k1QdzwaZXJ
MQTT-F02-R210,MQTT,2,210,kFhwDGO2DyUAMxs5n3N8
CoAP-F02-R301,CoAP,2,301,tugXmytf9bQvfvwHpyit
CoAP-F02-R302,CoAP,2,302,RAJ9qSZhfvTWP2E9WRRl
CoAP-F02-R303,CoAP,2,303,ei7855v17fk11QceccDQ
CoAP-F02-R304,CoAP,2,304,czzHUSpR8Nuzy12ukOq5
CoAP-F02-R305,CoAP,2,305,29b6vN48meE1GiTz4NIS
CoAP-F02-R306,CoAP,2,306,8wM4qEp0GzxjPvTLn6YF
CoAP-F02-R307,CoAP,2,307,7pxFkWPKYzVuL7D7q7G2
CoAP-F02-R308,CoAP,2,308,Yt9B1VooBmQH1ezfSWIA
CoAP-F02-R309,CoAP,2,309,UwocTVR2vsfAjsMPFZv1
CoAP-F02-R310,CoAP,2,310,LnAHwPxMMeRuQ9rgr1Oe
MQTT-F03-R301,MQTT,3,301,3TL203gftGZXwwdmlIHt
MQTT-F03-R302,MQTT,3,302,q1nPz7OdkXEjrxwZ4vbd
MQTT-F03-R303,MQTT,3,303,rK0TFjFCTj52LemY6Jpv
MQTT-F03-R304,MQTT,3,304,t3hRMw9BU2d5Y0XCyOpc
MQTT-F03-R305,MQTT,3,305,3lS86jJQXlcQxKeUAB7o
MQTT-F03-R306,MQTT,3,306,bQZabDDrFpyMijCMi4ry
MQTT-F03-R307,MQTT,3,307,ORH04JMrJqvZPvUmmYD8
MQTT-F03-R308,MQTT,3,308,taqJryumQPp4U5IITzgC
MQTT-F03-R309,MQTT,3,309,AjTG7LY9yptoFDSbIux4
MQTT-F03-R310,MQTT,3,310,0hAeZPF9jxAOSMTn3EeP
CoAP-F03-R401,CoAP,3,401,7ZwodlN2H6q2d4n5bOXX
CoAP-F03-R402,CoAP,3,402,keN95F8GDzw4EMATShBU
